"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Tổng số người liên hệ nhắn tin","Người liên hệ nhắn tin mới","Lượt mua","Kết thúc","Cài đặt ghi nhận","Chi phí trên mỗi lượt mua (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)"
2026-04-13,2026-04-13,"Chiến dịch Lượt tương tác mới",inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-13,2026-04-13,"Chiến dịch Lưu lượng truy cập mới",inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-13,2026-04-13,MuseStudio-damthietkeevii-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-13,2026-04-13,MuseStudio-damthietkecoduc-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-13,2026-04-13,MuseStudio-chanvayrendai-0411,not_delivering,32,actions:link_click,578.21875,"Sử dụng ngân sách nhóm quảng cáo",0,18503,561,515,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-13,2026-04-13,MuseStudio-chanvayrenngan-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra",-,,,
2026-04-13,2026-04-13,MuseStudio-quanchunbong-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
